time,step,cases,controls,total
4,0.4,0.5789,0.7419,0.6800
5,0.4,0.6842,0.4516,0.5400
1,0.55,0.5789,0.6129,0.6000
2,0.55,0.6842,0.6774,0.6800
3,0.55,0.4737,0.5484,0.5200
4,0.55,0.5263,0.5484,0.5400
5,0.55,0.5263,0.4839,0.5000
1,0.6,0.3684,0.7419,0.6000
2,0.6,0.4211,0.7742,0.6400
3,0.6,0.4737,0.7742,0.6600
4,0.6,0.3684,0.5806,0.5000
5,0.6,0.4737,0.5484,0.5200
1,0.25,0.5263,0.7419,0.6600
2,0.25,0.7368,0.4839,0.5800
3,0.25,0.7895,0.5161,0.6200
4,0.25,0.5789,0.5161,0.5400
5,0.25,0.5789,0.4194,0.4800
1,0.15,0.6842,0.4194,0.5200
2,0.15,0.8947,0.5161,0.6600
3,0.15,0.8421,0.3548,0.5400
4,0.15,0.8421,0.5484,0.6600
5,0.15,0.7368,0.4516,0.5600
1,0.55,0.4211,0.7419,0.6200
2,0.55,0.3158,0.7742,0.6000
3,0.55,0.4737,0.8065,0.6800
4,0.55,0.5789,0.6452,0.6200
5,0.55,0.6316,0.7097,0.6800
1,0.55,0.5417,0.7179,0.6508
2,0.55,0.6250,0.7436,0.6984
3,0.55,0.5000,0.7692,0.6667
4,0.55,0.7917,0.7179,0.7460
5,0.55,0.5417,0.6410,0.6032
1,0.46,0.5833,0.7179,0.6667
2,0.46,0.3750,0.6923,0.5714
3,0.46,0.5417,0.7692,0.6825
4,0.46,0.3333,0.6410,0.5238
5,0.46,0.5000,0.6410,0.5873
1,0.47000000000000003,0.5833,0.4615,0.5079
2,0.47000000000000003,0.4167,0.4872,0.4603
3,0.47000000000000003,0.5000,0.5128,0.5079
4,0.47000000000000003,0.4583,0.5641,0.5238
5,0.47000000000000003,0.5833,0.5641,0.5714
1,0.48,0.5417,0.6154,0.5873
2,0.48,0.5000,0.6667,0.6032
3,0.48,0.5417,0.6923,0.6349
4,0.48,0.6667,0.6667,0.6667
5,0.48,0.5417,0.5897,0.5714
1,0.49,0.7083,0.5897,0.6349
2,0.49,0.5000,0.5385,0.5238
