spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,1.3074,2.2701,1.9867,1.6033,1.8744,2.1365,1.9391,3
1,1.5644,0.5285,0.5989,0.7069,0.5318,0.3177,0.3711,5
2,1.5738,1.1488,1.2192,0.7272,1.1521,0.9379,0.9370,3
3,2.0299,0.2133,0.3288,0.7760,0.3268,0.2473,0.3914,1
4,2.0311,0.4815,0.5519,0.4919,0.4848,0.2706,0.2697,6
5,2.0337,0.2024,0.4857,0.8692,0.5980,0.3359,0.5333,1
6,2.0371,0.5174,0.6552,1.0387,0.7675,0.5055,0.7028,5
7,2.0502,0.5272,0.5977,0.7536,0.5305,0.3164,0.4177,5
8,2.0623,0.1892,0.4726,0.8560,0.5849,0.3228,0.5202,1
9,2.2304,0.2223,0.5056,0.8891,0.6180,0.3559,0.5532,1
10,2.2634,0.5035,0.5739,0.6819,0.5068,0.2926,0.3460,5
11,2.2677,0.2250,0.5083,0.8918,0.6206,0.3586,0.5559,1
12,2.2988,0.5831,0.5972,0.4578,0.4060,0.3841,0.3299,6
13,2.3830,0.4988,0.6365,1.0200,0.7488,0.4868,0.6841,5
14,2.3891,0.9979,1.0683,0.5763,1.0012,0.7870,0.7861,3
15,2.4210,0.4717,0.5421,0.4821,0.4750,0.2608,0.2599,6
16,2.4213,0.4961,0.6338,1.0173,0.7462,0.4841,0.6814,5
17,2.4226,0.5083,0.6461,1.0295,0.7584,0.4963,0.6937,5
18,2.4476,0.6494,0.6635,0.8590,0.3186,0.4504,0.4744,4
19,2.5680,0.2114,0.4947,0.8782,0.6071,0.3450,0.5423,1
20,2.5909,0.5063,0.5767,0.6847,0.5096,0.2954,0.3489,5
21,2.6103,0.5144,0.5849,0.7408,0.5177,0.3036,0.4049,5
22,2.6115,0.1780,0.2935,0.7407,0.2915,0.2120,0.3561,1
23,2.6529,0.5035,0.6413,1.0248,0.7536,0.4915,0.6889,5
24,2.6916,0.1908,0.4741,0.8576,0.5864,0.3243,0.5217,1
25,2.7169,0.6238,0.6379,0.8334,0.2930,0.4248,0.4488,4
26,2.7283,0.4925,0.5630,0.5029,0.4958,0.2817,0.2807,6
27,2.7349,0.5074,0.5779,0.7338,0.5108,0.2966,0.3979,5
28,2.7375,0.2431,0.3244,0.7716,0.3127,0.2429,0.3870,5
29,2.7624,0.4700,0.5405,0.4804,0.4733,0.2592,0.2582,6
30,2.8641,0.2022,0.3177,0.7649,0.3157,0.2362,0.3803,1
31,2.8712,0.2217,0.5050,0.8885,0.6173,0.3553,0.5526,1
32,2.9092,0.5149,0.5854,0.7413,0.5182,0.3041,0.4054,5
33,2.9459,0.4703,0.5407,0.6966,0.4736,0.2594,0.3608,5
34,2.9478,0.4666,0.5370,0.6929,0.4699,0.2557,0.3570,5
35,3.0585,0.2317,0.3131,0.7603,0.3013,0.2316,0.3756,5
36,3.0905,0.5203,0.6581,1.0415,0.7704,0.5083,0.7057,5
37,3.1157,0.5126,0.5831,0.7390,0.5160,0.3018,0.4031,5
38,3.1327,0.4752,0.6130,0.9965,0.7253,0.4632,0.6606,5
39,3.1376,0.5202,0.5906,0.6986,0.5235,0.3093,0.3627,5
40,3.3140,0.4837,0.6214,1.0049,0.7338,0.4717,0.6690,5
41,3.4927,0.2341,0.5174,0.9009,0.6298,0.3677,0.5650,1
42,3.5192,0.5077,0.5782,0.7341,0.5110,0.2969,0.3982,5
43,3.6362,0.4922,0.5626,0.5025,0.4955,0.2813,0.2804,6
44,3.6731,0.4917,0.6294,1.0129,0.7418,0.4797,0.6771,5
45,3.6817,0.5201,0.5906,0.7465,0.5235,0.3093,0.4106,5
46,3.6989,0.4776,0.4917,0.8381,0.2255,0.3094,0.4535,4
47,3.7061,0.4421,0.5125,0.4525,0.4454,0.2312,0.2303,6
48,3.7065,0.5394,0.6098,0.7657,0.5427,0.3285,0.4299,5
49,3.7380,0.2287,0.5120,0.8955,0.6244,0.3623,0.5596,1
50,3.7851,0.4506,0.4647,0.8111,0.1985,0.2824,0.4265,4
51,3.8224,0.2509,0.3665,0.8137,0.3645,0.2850,0.4290,1
52,3.8296,0.4557,0.6826,1.1298,0.5172,0.6011,0.7452,1
53,4.0545,0.4899,0.5603,0.7162,0.4932,0.2790,0.3803,5
54,4.1225,0.2565,0.5398,0.9233,0.6522,0.3901,0.5874,1
55,4.1444,0.4751,0.7021,1.1493,0.6903,0.6206,0.7646,1
56,4.2433,0.5623,0.8456,1.2291,0.9580,0.6959,0.8932,1
57,4.2479,0.5705,0.8538,1.2373,0.9662,0.7041,0.9014,1
58,4.2563,0.2087,0.2901,0.7373,0.2783,0.2086,0.3526,5
59,4.2967,0.5052,0.6429,1.0264,0.7553,0.4932,0.6905,5
60,4.2985,0.2342,0.3156,0.7628,0.3038,0.2341,0.3782,5
61,4.3166,0.5525,0.6230,0.7789,0.5559,0.3417,0.4430,5
62,4.3254,0.5070,0.5774,0.5174,0.5103,0.2961,0.2952,6
63,4.3263,0.4688,0.4829,0.8293,0.2167,0.3006,0.4447,4
64,4.3445,0.5053,0.5757,0.6837,0.5086,0.2944,0.3478,5
65,4.4999,0.2529,0.3684,0.8156,0.3664,0.2869,0.4310,1
66,4.5778,0.4361,0.4501,0.7966,0.1840,0.2679,0.4119,4
67,4.5817,0.2123,0.4956,0.8791,0.6080,0.3459,0.5433,1
68,4.5928,0.4580,0.6849,1.1321,0.5195,0.6034,0.7475,1
69,4.8752,0.2013,0.4847,0.8681,0.5970,0.3349,0.5323,1
70,5.0946,0.5103,0.5808,0.6887,0.5136,0.2995,0.3529,5
71,5.1787,0.2482,0.5315,0.9149,0.6438,0.3817,0.5791,1
72,5.3110,0.5172,0.6549,1.0384,0.7672,0.5052,0.7025,5
73,5.4411,0.5346,0.6051,0.7610,0.5379,0.3238,0.4251,5
74,5.4581,0.2207,0.5040,0.8875,0.6163,0.3543,0.5516,1
75,5.4669,0.5326,0.8159,1.1994,0.9283,0.6662,0.8635,1
76,5.4841,0.2131,0.4964,0.8799,0.6088,0.3467,0.5440,1
77,5.4903,0.2478,0.3633,0.8105,0.3613,0.2818,0.4259,1
78,5.4914,0.2510,0.3324,0.7796,0.3206,0.2509,0.3949,5
79,5.5721,0.1868,0.4701,0.8536,0.5825,0.3204,0.5177,1
80,5.5811,0.2489,0.3644,0.8116,0.3624,0.2829,0.4270,1
81,5.6078,0.2321,0.5154,0.8989,0.6278,0.3657,0.5630,1
82,5.6261,0.1915,0.4748,0.8583,0.5872,0.3251,0.5224,1
83,5.6486,0.5673,0.8506,1.2341,0.9630,0.7009,0.8982,1
84,5.6749,0.5153,0.6530,1.0365,0.7653,0.5033,0.7006,5
85,5.7646,0.1695,0.4528,0.8363,0.5652,0.3031,0.5005,1
86,5.8153,0.5404,0.6109,0.7668,0.5437,0.3296,0.4309,5
87,5.8949,0.2036,0.4869,0.8704,0.5992,0.3372,0.5345,1
88,6.6689,0.5322,0.6026,0.7106,0.5355,0.3214,0.3748,5
89,6.8590,0.4859,0.6236,1.0071,0.7360,0.4739,0.6712,5
90,6.9062,0.5401,0.6106,0.7665,0.5435,0.3293,0.4306,5
91,6.9142,0.5976,0.8809,1.2644,0.9932,0.7312,0.9285,1
92,6.9244,0.2076,0.4909,0.8744,0.6033,0.3412,0.5385,1
93,6.9317,0.5171,0.6548,1.0383,0.7672,0.5051,0.7024,5
94,6.9527,0.2693,0.3849,0.8321,0.3828,0.3034,0.4474,1
95,6.9591,0.5376,0.6081,0.7640,0.5409,0.3268,0.4281,5
96,6.9638,0.5572,0.8405,1.2240,0.9528,0.6907,0.8881,1
97,6.9917,0.4017,0.6286,1.0758,0.4632,0.5471,0.6912,1
98,6.9982,0.5145,0.6522,1.0357,0.7646,0.5025,0.6998,5
99,6.9999,0.5255,0.5959,0.7518,0.5288,0.3146,0.4159,5
100,7.0320,0.2291,0.3447,0.7918,0.3426,0.2631,0.4072,1
101,7.0483,0.5311,0.6015,0.7574,0.5344,0.3202,0.4215,5
102,7.0758,0.2332,0.5165,0.9000,0.6288,0.3668,0.5641,1
103,7.0829,0.2317,0.5150,0.8985,0.6274,0.3653,0.5626,1
104,7.1242,0.1923,0.4756,0.8591,0.5879,0.3259,0.5232,1
105,7.1844,0.2902,0.3716,0.8188,0.3598,0.2901,0.4342,5
106,7.2204,0.2362,0.3176,0.7648,0.3058,0.2361,0.3802,5
107,7.2620,0.2625,0.3439,0.7910,0.3321,0.2623,0.4064,5
108,7.2755,0.5399,0.6104,0.7183,0.5432,0.3291,0.3825,5
109,7.3068,0.2026,0.3182,0.7653,0.3161,0.2367,0.3807,1
110,7.3076,0.5593,0.8426,1.2261,0.9550,0.6929,0.8902,1
111,7.4920,1.1522,1.2226,0.7306,1.1555,0.9413,0.9404,3
112,7.5218,0.5254,0.6631,1.0466,0.7755,0.5134,0.7108,5
113,7.5224,0.2030,0.4863,0.8698,0.5987,0.3366,0.5339,1
114,7.5267,1.0789,1.0930,0.7546,0.7481,0.8799,0.8257,4
115,8.5403,0.5183,0.5888,0.7447,0.5217,0.3075,0.4088,5
116,8.6731,0.2133,0.4966,0.8801,0.6090,0.3469,0.5443,1
117,8.7112,0.2858,0.3672,0.8144,0.3554,0.2857,0.4298,5
118,8.7118,0.2229,0.5062,0.8897,0.6186,0.3565,0.5538,1
119,8.7514,0.6606,0.8875,1.3347,0.7221,0.8060,0.9501,1
120,8.7822,0.3596,0.5406,0.9878,0.3752,0.5705,0.6032,1
121,8.8029,0.3853,0.6123,1.0595,0.4469,0.5308,0.6748,1
122,8.8052,0.1915,0.4748,0.8583,0.5871,0.3251,0.5224,1
123,8.8356,0.8305,0.9010,0.4089,0.8338,0.6197,0.6187,3
124,8.9151,0.4994,0.6371,1.0206,0.7495,0.4874,0.6848,5
125,8.9552,0.2141,0.4974,0.8809,0.6097,0.3477,0.5450,1
126,8.9880,0.1885,0.4719,0.8553,0.5842,0.3221,0.5195,1
127,9.0245,0.2166,0.3322,0.7794,0.3301,0.2507,0.3947,1
128,9.0292,0.1852,0.4685,0.8520,0.5808,0.3188,0.5161,1
129,9.0439,0.2902,0.3716,0.8187,0.3598,0.2901,0.4341,5
130,9.0512,0.5021,0.5725,0.7284,0.5054,0.2912,0.3926,5
131,9.1034,0.5224,0.5928,0.7008,0.5257,0.3115,0.3649,5
132,9.1169,0.3754,0.6024,1.0496,0.5906,0.5242,0.6649,1
133,9.1515,0.2855,0.3669,0.8141,0.3551,0.2854,0.4294,5
134,9.1524,0.5287,0.5991,0.7550,0.5320,0.3178,0.4191,5
135,9.1532,0.2823,0.3637,0.8109,0.3519,0.2822,0.4263,5
136,9.2686,0.5049,0.6426,1.0261,0.7550,0.4929,0.6903,5
137,9.4319,0.4663,0.6933,1.1405,0.5278,0.6118,0.7558,1
138,9.4637,0.5556,0.6261,0.7340,0.5589,0.3448,0.3982,5
