spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0043,1.8078,1.7374,2.2294,1.8045,2.0187,2.0196,2
1,0.0810,1.3334,1.2629,1.7550,1.3300,1.5442,1.5452,2
2,0.1336,1.1596,0.8763,0.6349,0.7639,1.0260,0.8287,3
3,0.2636,0.5567,0.3016,0.2512,0.4670,0.4231,0.2390,6
4,0.3065,0.3573,0.4822,0.8656,0.5945,0.3324,0.5298,5
5,0.3384,0.6892,0.7596,0.5501,0.6925,0.4783,0.4774,6
6,0.3401,0.6385,0.7089,0.9198,0.6487,0.4276,0.5840,5
7,0.3438,0.6477,0.7182,0.5087,0.6510,0.4369,0.4359,6
8,0.3469,0.6563,0.7268,0.6950,0.6597,0.4455,0.4445,6
9,0.3559,0.7088,0.7792,0.7080,0.7121,0.4979,0.4970,6
10,0.3647,0.6218,0.6330,0.3818,0.2928,0.4882,0.3657,4
11,0.3807,0.3184,0.4433,0.8268,0.5557,0.2936,0.4909,5
12,0.3936,0.4793,0.5216,0.4264,0.4545,0.2803,0.2394,6
13,0.3940,0.7445,0.8149,0.6054,0.7478,0.5336,0.5327,6
14,0.3961,0.6757,0.7461,0.7144,0.6790,0.4648,0.4639,6
15,0.4006,0.6690,0.7394,0.7077,0.6723,0.4581,0.4572,6
16,0.4081,0.4215,0.7048,1.0883,0.8172,0.5551,0.7524,1
17,0.4136,0.4443,0.5147,0.7256,0.4545,0.2334,0.3897,5
18,0.4357,0.3447,0.4695,0.8530,0.5819,0.3198,0.5171,5
19,0.4554,0.6533,0.7237,0.5142,0.6566,0.4424,0.4415,6
20,0.4725,0.6249,0.6953,0.9062,0.6351,0.4140,0.5703,5
21,0.4778,0.6294,0.6999,0.9108,0.6396,0.4186,0.5749,5
22,0.4793,0.7090,0.7794,0.7082,0.7123,0.4981,0.4972,6
23,0.4845,0.6202,0.6906,0.3003,0.6235,0.4093,0.4084,3
24,0.4850,0.5850,0.6554,0.2174,0.5883,0.3776,0.3732,3
25,0.4864,0.8015,0.8155,0.6255,0.4706,0.6477,0.5482,4
26,0.4914,0.4498,0.5203,0.5697,0.4532,0.2390,0.2380,6
27,0.4916,0.7415,0.8119,0.4847,0.7448,0.5306,0.5297,3
28,0.4924,0.7299,0.8004,0.4100,0.7332,0.5191,0.5181,3
29,0.5106,1.0064,1.0769,0.5848,1.0098,0.7956,0.7946,3
30,0.5429,0.6319,0.7023,0.9132,0.6421,0.4210,0.5774,5
31,0.5512,0.7365,0.8069,0.7357,0.7398,0.5256,0.5247,6
32,0.5542,0.6628,0.7332,0.2952,0.6661,0.4519,0.4510,3
33,0.5563,0.4427,0.7260,1.1095,0.8383,0.5762,0.7736,1
34,0.5594,0.2298,0.3002,0.6529,0.3817,0.1197,0.3170,5
35,0.5598,0.7194,0.7899,0.7581,0.7227,0.5086,0.5076,6
36,0.5606,0.7006,0.7710,0.6998,0.7039,0.4897,0.4888,6
37,0.5691,0.2756,0.3140,0.5642,0.2537,0.0766,0.1890,5
38,0.5756,0.2613,0.3317,0.6844,0.4132,0.1512,0.3485,5
39,0.5888,0.4291,0.7124,1.0958,0.8247,0.5626,0.7600,1
40,0.6024,1.0784,0.7951,0.5887,0.6874,0.9449,0.7475,3
41,0.6044,0.6686,0.7391,0.5296,0.6720,0.4578,0.4568,6
42,0.6161,0.5481,0.6186,0.8294,0.5583,0.3373,0.4936,5
43,0.6348,0.4038,0.5286,0.9121,0.6410,0.3789,0.5762,5
44,0.6354,0.4419,0.5124,0.4608,0.4452,0.2311,0.2301,6
45,0.6371,0.7173,0.7877,0.5782,0.7206,0.5065,0.5055,6
46,0.6374,0.4064,0.5313,0.9148,0.6436,0.3816,0.5789,5
47,0.6379,0.6034,0.6738,0.8847,0.6136,0.3926,0.5489,5
48,0.6595,0.9726,0.6940,0.3726,0.5770,0.8391,0.6417,3
49,0.6616,0.9062,0.8186,0.5984,0.5106,0.7727,0.5753,4
50,0.6930,1.3883,1.1050,0.8945,0.9926,1.2547,1.0573,3
51,0.6952,0.6525,0.7230,0.6518,0.6559,0.4417,0.4408,6
52,0.6954,0.7973,0.5422,0.4918,0.7076,0.6637,0.4796,6
53,0.7180,0.6118,0.6822,0.8931,0.6220,0.4009,0.5572,5
54,0.7844,0.6383,0.7088,0.6770,0.6416,0.4275,0.4265,6
55,0.9844,0.6959,0.7663,0.5568,0.6992,0.4850,0.4841,6
56,1.1331,0.6582,0.7286,0.4014,0.6615,0.4473,0.4464,3
57,1.5709,0.4753,0.2397,0.5283,0.1052,0.3417,0.3156,4
58,1.5856,0.0955,0.1878,0.6107,0.3676,0.2796,0.2900,1
59,1.5873,0.3852,0.3158,0.5548,0.3587,0.2398,0.2811,5
60,1.6011,0.3405,0.4654,0.8489,0.5778,0.3157,0.5130,5
61,1.6044,0.4204,0.4909,0.7017,0.4306,0.2096,0.3659,5
62,1.6076,0.3175,0.3086,0.4865,0.1680,0.1839,0.1019,6
63,1.6094,0.3351,0.4599,0.8434,0.5723,0.3102,0.5076,5
64,1.6220,0.3520,0.4768,0.8603,0.5892,0.3271,0.5245,5
65,1.6865,0.2758,0.4013,0.8485,0.2405,0.3198,0.4638,4
66,1.6966,0.3498,0.4158,0.4885,0.3487,0.2044,0.1526,6
67,1.7159,0.1471,0.2156,0.6627,0.2544,0.1937,0.2781,1
