spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0047,1.1072,0.8238,1.0755,0.9467,0.9736,0.8657,2
1,5.0377,0.4309,0.3925,0.8524,0.4275,0.6417,0.6426,2
2,5.0387,0.2084,0.2788,0.6328,0.3617,0.1178,0.2970,5
3,5.0405,0.2656,0.5489,0.9324,0.6613,0.3992,0.5966,1
4,5.0412,0.2934,0.5767,0.9602,0.6891,0.4270,0.6243,1
5,5.0650,0.2841,0.1558,0.5099,0.3726,0.2408,0.2950,2
6,5.0660,0.3143,0.5091,0.9563,0.3436,0.5252,0.5716,1
7,5.0890,0.6613,0.7317,0.8748,0.6646,0.4504,0.5389,5
8,5.1058,0.6243,0.6947,0.8378,0.6276,0.4134,0.5020,5
9,5.1078,0.2795,0.2867,0.4935,0.1771,0.1459,0.1089,6
10,5.1149,0.8703,0.5870,1.0495,0.6246,0.8388,0.8397,2
11,5.1167,0.1362,0.3631,0.8103,0.4416,0.2816,0.4257,1
12,5.1194,0.3022,0.3163,0.5231,0.2067,0.1163,0.1385,5
13,5.1241,0.2687,0.4440,0.8275,0.5995,0.4677,0.5219,1
14,5.1264,0.0857,0.3127,0.7599,0.3912,0.2915,0.3752,1
15,5.1339,0.6582,0.6130,1.0798,0.6549,0.8691,0.8700,2
16,5.1345,0.5945,0.6649,0.8080,0.5978,0.3836,0.4721,5
17,5.1599,0.2275,0.2980,0.6520,0.3809,0.1188,0.3161,5
18,5.1620,0.5962,0.6666,0.8097,0.5995,0.3853,0.4738,5
19,5.1783,0.2275,0.2124,0.5665,0.3160,0.1842,0.2384,5
20,5.1955,0.2018,0.2381,0.5921,0.3210,0.1585,0.2563,5
21,5.2043,0.2819,0.5652,0.9487,0.6776,0.4155,0.6128,1
22,5.2052,0.2939,0.5772,0.9607,0.6896,0.4275,0.6248,1
23,5.2074,0.1193,0.3463,0.7934,0.4161,0.2647,0.4088,1
24,5.2282,0.1886,0.2590,0.6130,0.3419,0.1376,0.2772,5
25,5.2326,0.3429,0.4268,0.8103,0.6738,0.5419,0.5962,1
