spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
80,0.4531,0.3403,0.4824,0.8659,0.5948,0.3327,0.5300,5
81,0.4536,0.6430,0.5840,0.4122,0.2473,0.5094,0.3167,4
82,0.4542,0.6234,0.6938,0.4230,0.6267,0.4125,0.4116,6
83,0.4560,0.1287,0.3389,0.7860,0.3161,0.2736,0.4014,1
84,0.4564,0.3513,0.4218,0.5600,0.3546,0.1405,0.2241,5
85,0.4590,0.6176,0.6880,0.6356,0.6209,0.4067,0.4058,6
86,0.4620,0.6283,0.9116,1.2951,1.0240,0.7619,0.9592,1
87,0.4626,0.5962,0.6666,0.6142,0.5995,0.3853,0.3844,6
88,0.4628,0.5741,0.6445,0.3737,0.5774,0.3632,0.3623,6
89,0.4644,0.2962,0.4722,0.8557,0.5846,0.3225,0.5199,1
90,0.4654,0.6077,0.6218,0.2422,0.5163,0.4087,0.3545,3
91,0.4661,0.5701,0.6405,0.8026,0.5734,0.3592,0.4668,5
92,0.4663,0.3345,0.4050,0.5432,0.3378,0.1237,0.2073,5
93,0.4666,0.6259,0.6400,0.4682,0.2951,0.4534,0.3727,4
94,0.4687,0.6224,0.6929,0.6404,0.6258,0.4116,0.4107,6
95,0.4692,0.6090,0.6795,0.2926,0.6123,0.4081,0.3972,3
96,0.4698,0.8907,0.9611,0.4691,0.8940,0.6798,0.6789,3
97,0.4714,0.6085,0.6789,0.6265,0.6118,0.3976,0.3967,6
98,0.4716,0.6110,0.6815,0.4869,0.6144,0.4002,0.3993,6
99,0.4741,0.4104,0.6937,1.0772,0.8060,0.5440,0.7413,1
100,0.4744,0.1773,0.4606,0.8441,0.5730,0.3109,0.5083,1
101,0.4761,0.6150,0.6854,0.6330,0.6183,0.4041,0.4032,6
102,0.4763,1.0585,1.1290,0.6369,1.0619,0.8477,0.8468,3
103,0.4769,0.5403,0.6055,0.4109,0.5384,0.3949,0.3233,6
104,0.4778,0.6657,0.6798,0.6911,0.3349,0.4667,0.4125,4
105,0.4786,0.5830,0.6535,0.6010,0.5863,0.3722,0.3712,6
106,0.4788,0.4735,0.4876,0.4988,0.3820,0.2745,0.2203,6
107,0.4797,0.5802,0.6507,0.3799,0.5836,0.3694,0.3685,6
108,0.4800,0.9114,0.9255,0.6169,0.5806,0.7124,0.6582,4
109,0.4810,0.5728,0.6433,0.8054,0.5762,0.3620,0.4695,5
110,0.4812,0.4948,0.6369,1.0204,0.7493,0.4872,0.6845,5
111,0.4821,1.0637,1.1342,0.6421,1.0671,0.8529,0.8520,3
