spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.3791,1.3505,1.0671,0.8886,1.1336,1.2169,1.0195,3
1,0.5314,0.3029,0.3170,0.6590,0.2252,0.1303,0.2744,5
2,0.6038,0.1173,0.2858,0.6693,0.3982,0.1361,0.3335,1
3,1.3430,0.4822,0.6164,0.9999,0.7287,0.4667,0.6640,5
4,1.3786,0.9390,1.0094,0.5174,0.9423,0.7281,0.7272,3
5,1.4348,0.5411,0.6115,0.7623,0.5444,0.3302,0.4265,5
6,1.8155,0.5216,0.5921,0.6947,0.5250,0.3108,0.3589,5
7,1.8238,0.5091,0.5795,0.3996,0.5124,0.2982,0.2973,6
8,1.8416,0.4976,0.5681,0.5018,0.5009,0.2868,0.2858,6
9,1.8794,0.5062,0.5766,0.7275,0.5095,0.2953,0.3916,5
10,2.0034,0.4955,0.5660,0.3860,0.4988,0.2847,0.2837,6
11,2.1628,0.5683,0.8516,1.2351,0.9640,0.7019,0.8992,1
12,2.1996,1.1434,0.9007,0.9643,0.7477,1.0098,0.8125,4
13,2.3956,0.4349,0.4416,0.2617,0.3745,0.2894,0.1594,6
14,2.4806,0.2644,0.5477,0.9312,0.6601,0.3980,0.5953,1
15,2.5424,0.5288,0.6630,1.0465,0.7754,0.5133,0.7106,5
16,3.2983,0.5117,0.5821,0.6848,0.5150,0.3009,0.3489,5
17,3.3356,0.5222,0.6563,1.0398,0.7687,0.5066,0.7040,5
18,3.4023,0.5612,0.6317,0.7343,0.5646,0.3504,0.3985,5
19,3.4186,0.5877,0.6018,0.6746,0.2569,0.3914,0.3345,4
20,3.5054,0.4832,0.6174,1.0008,0.7297,0.4676,0.6650,5
21,3.5329,0.5428,0.6132,0.7640,0.5461,0.3319,0.4282,5
22,3.6561,0.4955,0.6297,1.0132,0.7421,0.4800,0.6773,5
23,3.8351,1.0331,0.7498,0.4293,0.6374,0.8995,0.7022,3
24,3.8736,0.5864,0.6569,0.7595,0.5897,0.3756,0.4237,5
25,3.9971,0.8972,0.8781,0.4803,0.5332,0.7637,0.6108,3
26,4.0227,0.2055,0.3397,0.7232,0.4521,0.1900,0.3873,5
27,5.6029,0.4810,0.6152,0.9987,0.7275,0.4655,0.6628,5
28,6.7146,0.5754,0.5895,0.3661,0.4234,0.3764,0.3222,6
29,7.0699,0.3051,0.3192,0.6612,0.2274,0.1325,0.2766,5
30,7.3751,0.4919,0.6261,1.0096,0.7384,0.4764,0.6737,5
31,7.3849,0.5126,0.5831,0.7339,0.5159,0.3018,0.3980,5
32,7.9264,0.5436,0.6141,0.5478,0.5470,0.3328,0.3318,6
33,9.6070,0.1926,0.3267,0.7102,0.4391,0.1770,0.3744,5
