kind,dim,acc_n,acc_p,Accuracy,Precision,Recall
SM-compressed,5814,0.1290,0.7895,0.3800,0.3571,0.7895
SM-compressed,5814,0.0968,0.7895,0.3600,0.3488,0.7895
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0323,0.8947,0.3600,0.3617,0.8947
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,0.8421,0.3200,0.3404,0.8421
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0323,1.0000,0.4000,0.3878,1.0000
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,5814,0.0000,1.0000,0.3800,0.3800,1.0000
SM-uncompressed,8028,0.1290,1.0000,0.4600,0.4130,1.0000
SM-uncompressed,8028,0.0323,1.0000,0.4000,0.3878,1.0000
SM-compressed,6588,0.4516,0.4211,0.4400,0.3200,0.4211
SM-compressed,6588,0.4839,0.4211,0.4600,0.3333,0.4211
SM-compressed,6588,0.5806,0.4211,0.5200,0.3810,0.4211
SM-compressed,6588,0.9032,0.0000,0.5600,0.0000,0.0000
SM-compressed,6588,0.9032,0.0000,0.5600,0.0000,0.0000
SM-compressed,6588,0.9032,0.0000,0.5600,0.0000,0.0000
SM-compressed,6588,0.9677,0.0526,0.6200,0.5000,0.0526
SM-compressed,6588,1.0000,0.0000,0.6200,0.0000,0.0000
SM-compressed,6588,0.9677,0.1579,0.6600,0.7500,0.1579
SM-compressed,6588,0.6774,0.4737,0.6000,0.4737,0.4737
SM-compressed,6588,0.7742,0.5263,0.6800,0.5882,0.5263
SM-compressed,6588,0.7097,0.2632,0.5400,0.3571,0.2632
SM-compressed,6588,0.0323,0.7895,0.3200,0.3333,0.7895
SM-compressed,6588,0.0645,0.7368,0.3200,0.3256,0.7368
SM-compressed,6588,0.0323,0.7368,0.3000,0.3182,0.7368
SM-compressed,6588,0.0968,0.7368,0.3400,0.3333,0.7368
SM-compressed,6588,0.0968,0.8421,0.3800,0.3636,0.8421
SM-compressed,6588,0.0000,0.6842,0.2600,0.2955,0.6842
SM-compressed,6588,0.0323,0.7368,0.3000,0.3182,0.7368
SM-compressed,6588,0.0645,0.8947,0.3800,0.3696,0.8947
SM-compressed,6588,0.0323,0.6842,0.2800,0.3023,0.6842
SM-compressed,6588,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,6588,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6588,0.0323,1.0000,0.4000,0.3878,1.0000
SM-compressed,6588,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6588,0.0000,0.9474,0.3600,0.3673,0.9474
SM-compressed,6588,0.0000,1.0000,0.3800,0.3800,1.0000
SM-compressed,6588,0.0000,0.8947,0.3400,0.3542,0.8947
SM-compressed,6588,0.0000,0.8947,0.3400,0.3542,0.8947
SM-compressed,6588,0.0000,0.8421,0.3200,0.3404,0.8421
SM-compressed,6108,1.0000,0.0000,0.6200,0.0000,0.0000
SM-compressed,6108,1.0000,0.1579,0.6800,1.0000,0.1579
SM-compressed,6108,1.0000,0.1053,0.6600,1.0000,0.1053
SM-compressed,6292,1.0000,0.1053,0.6600,1.0000,0.1053
SM-compressed,6292,0.9677,0.0000,0.6000,0.0000,0.0000
SM-compressed,6292,0.9355,0.1053,0.6200,0.5000,0.1053
SM-compressed,6292,0.9677,0.2105,0.6800,0.8000,0.2105
SM-compressed,6292,0.9355,0.0526,0.6000,0.3333,0.0526
SM-compressed,6292,1.0000,0.1053,0.6600,1.0000,0.1053
SM-compressed,5814,0.4839,0.5263,0.5000,0.3846,0.5263
SM-compressed,5814,0.5161,0.6316,0.5600,0.4444,0.6316
SM-compressed,5814,0.4839,0.3684,0.4400,0.3043,0.3684
SM-uncompressed,8028,0.9032,0.3684,0.7000,0.7000,0.3684
SM-uncompressed,8028,0.9032,0.4737,0.7400,0.7500,0.4737
SM-uncompressed,8028,0.9355,0.6316,0.8200,0.8571,0.6316
SM-uncompressed,8028,0.9032,0.5789,0.7800,0.7857,0.5789


SM-uncompressed,8028,0.9677,0.3684,0.7400,0.8750,0.3684
SM-uncompressed,8028,0.9677,0.1579,0.6600,0.7500,0.1579
SM-uncompressed,8028,0.8387,0.4737,0.7000,0.6429,0.4737
SM-compressed,6292,0.4000,0.5556,0.4583,0.3571,0.5556
SM-compressed,6292,0.3333,0.4444,0.3750,0.2857,0.4444
SM-compressed,6292,0.3333,0.5556,0.4167,0.3333,0.5556
SM-compressed,6056,0.5333,0.2222,0.4167,0.2222,0.2222
SM-compressed,6056,0.6667,0.2222,0.5000,0.2857,0.2222
SM-compressed,6056,0.8000,0.1111,0.5417,0.2500,0.1111
0.8387,0.6361,0.7224,0.8571
