spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
80,3.1638,0.3630,0.1360,0.4598,0.3764,0.2446,0.2988,2
81,3.1658,0.6285,0.4015,0.7254,0.6419,0.5101,0.5643,2
82,3.1695,0.5865,0.6570,0.5440,0.5899,0.4350,0.3748,6
83,3.1768,0.3558,0.1697,0.5980,0.5146,0.3828,0.4370,2
84,3.1825,0.3619,0.3478,0.7761,0.6927,0.5609,0.6151,2
85,3.1858,0.4832,0.2562,0.6589,0.5755,0.4437,0.4979,2
86,3.2014,0.5573,0.2740,0.5305,0.3969,0.4237,0.3207,2
87,3.2069,0.6163,0.5889,0.5124,0.5548,0.4709,0.3268,6
88,3.2182,0.6228,0.6932,0.3435,0.6261,0.4137,0.4110,3
89,3.2194,0.3105,0.3810,0.7388,0.4677,0.2374,0.4029,5
90,3.2201,0.5008,0.2738,0.4926,0.4393,0.3553,0.3316,2
91,3.2214,0.6960,0.5606,0.3198,0.6344,0.5505,0.4065,3
92,3.2256,0.4291,0.3040,0.4779,0.3676,0.2837,0.2599,6
93,3.2266,0.6410,0.7114,0.6349,0.6443,0.4301,0.4292,6
94,3.2369,0.6153,0.6857,0.8336,0.6186,0.4044,0.4978,5
95,3.2445,0.2375,0.1487,0.4478,0.2711,0.1393,0.1935,5
96,3.2457,0.5075,0.2242,0.4980,0.3515,0.3739,0.2882,2
97,3.2531,0.3015,0.3564,0.7142,0.4431,0.2620,0.3783,5
98,3.2542,0.5858,0.6516,0.5386,0.5845,0.4404,0.3694,6
99,3.2545,0.4495,0.2872,0.7155,0.6321,0.5003,0.5545,2
100,3.2616,0.3546,0.4251,0.7829,0.5118,0.2497,0.4470,5
101,3.2839,0.4627,0.3284,0.3270,0.4011,0.3172,0.1732,6
102,3.2863,0.3778,0.3553,0.5292,0.3163,0.2324,0.2086,6
103,3.2952,1.1656,0.9387,0.4915,1.1041,1.0202,0.8761,3
104,3.2989,0.9935,0.8617,0.3697,0.9320,0.8480,0.7040,3
105,3.3008,0.3496,0.3083,0.6662,0.4419,0.3101,0.3643,2
106,3.3058,0.6624,0.4354,0.4789,0.6008,0.5169,0.3729,6
107,3.3244,0.4606,0.2725,0.4525,0.3991,0.3152,0.2914,2
108,3.3253,0.2442,0.1663,0.5498,0.4268,0.2950,0.3492,2
109,3.3265,0.3947,0.1677,0.4915,0.4081,0.2763,0.3305,2
110,3.3327,0.3523,0.4228,0.5707,0.3557,0.1866,0.2348,5
111,3.3421,0.5404,0.3135,0.5063,0.4789,0.3950,0.3452,2
112,3.3594,0.4182,0.3366,0.4845,0.3567,0.2728,0.2230,6
113,3.3614,0.5296,0.5600,0.7079,0.4929,0.3841,0.3720,6
114,3.3706,0.5901,0.6606,0.5841,0.5935,0.3992,0.3784,6
115,3.3769,0.6704,0.5670,0.4540,0.6089,0.5249,0.3809,6
116,3.3924,0.3746,0.2833,0.6411,0.4669,0.3351,0.3893,2
117,3.3991,0.4461,0.2870,0.4610,0.3846,0.3006,0.2769,6
118,3.4035,0.2848,0.1257,0.5508,0.4674,0.3356,0.3898,2
119,3.4040,0.6436,0.4166,0.7405,0.6570,0.5252,0.5794,2
120,3.4064,0.3416,0.3916,0.5655,0.3244,0.1961,0.2296,5
121,3.4124,0.1015,0.2199,0.6671,0.2941,0.2144,0.2825,1
122,3.4260,0.3146,0.0876,0.4114,0.3280,0.1962,0.2504,2
123,3.4306,0.4302,0.3437,0.3638,0.3687,0.2848,0.1407,6
124,3.4537,0.3855,0.1543,0.3832,0.2294,0.2519,0.1661,2
125,3.4545,0.8900,0.6067,0.9729,0.5658,0.7622,0.7631,4
126,3.4557,0.2552,0.1468,0.4258,0.2687,0.1368,0.1910,5
127,3.4573,0.3910,0.1488,0.3814,0.2349,0.2574,0.1716,2
128,3.4681,0.4607,0.2337,0.6364,0.5530,0.4211,0.4753,2
129,3.4698,0.3655,0.1795,0.6078,0.5244,0.3925,0.4468,2
130,3.4849,0.4185,0.1916,0.5154,0.4320,0.3002,0.3544,2
131,3.4862,0.3577,0.2037,0.4153,0.1973,0.2241,0.1210,6
132,3.5001,0.3373,0.1689,0.6610,0.4757,0.4502,0.4512,2
133,3.5040,0.2632,0.0761,0.5681,0.3785,0.3574,0.3583,2
134,3.5054,0.1440,0.2665,0.6500,0.3789,0.1948,0.3142,1
135,3.5207,0.4807,0.1974,0.5636,0.1565,0.3529,0.3538,4
136,3.5345,0.5709,0.2876,0.6539,0.2468,0.4431,0.4440,4
137,3.5357,0.2028,0.3141,0.6976,0.4264,0.1644,0.3617,5
138,3.5364,0.4079,0.2456,0.6739,0.5905,0.4587,0.5129,2
139,3.5448,0.2341,0.0874,0.5577,0.3724,0.3470,0.3479,2
140,3.5497,0.7219,0.5347,0.2990,0.6604,0.5765,0.4324,3
141,3.5569,0.5766,0.6470,0.7949,0.5799,0.3657,0.4591,5
142,3.5890,0.5683,0.5213,0.6692,0.5068,0.4228,0.3731,6
143,3.6370,0.2776,0.0904,0.5825,0.3928,0.3717,0.3727,2
144,3.6888,0.1426,0.4258,0.8092,0.5381,0.3416,0.4734,1
145,3.6899,0.3443,0.4147,0.7726,0.5014,0.2394,0.4367,5
146,3.6944,0.2028,0.3656,0.7491,0.5336,0.4018,0.4560,1
147,3.6959,0.3666,0.2043,0.6326,0.5492,0.4174,0.4716,2
148,3.7086,0.5180,0.5885,0.7364,0.5213,0.3557,0.4005,5
149,3.7133,0.8255,0.5422,0.4099,0.5564,0.6919,0.4946,3
150,3.7142,0.6936,0.4103,0.5039,0.3158,0.5600,0.3627,4
151,3.7165,0.5095,0.2262,0.5000,0.3535,0.3759,0.2901,2
152,3.7244,0.3413,0.4118,0.7696,0.4985,0.2364,0.4337,5
153,3.7301,0.3387,0.3192,0.6770,0.4310,0.2992,0.3534,5
154,3.7323,0.3751,0.1481,0.4921,0.4087,0.2769,0.3311,2
155,3.7352,0.5839,0.6213,0.5449,0.5542,0.4385,0.3391,6
156,3.7382,0.5984,0.5843,1.0127,0.9292,0.7974,0.8516,2
157,3.7468,0.2423,0.2178,0.6394,0.1533,0.2147,0.2547,4
158,3.7477,0.4680,0.2651,0.4598,0.4065,0.3226,0.2988,2
159,3.7567,0.2987,0.1364,0.5647,0.4813,0.3495,0.4037,2
160,3.7630,0.8293,0.5459,0.9122,0.5051,0.7015,0.7024,4
161,3.7732,0.6819,0.7523,0.5115,0.6852,0.4710,0.4701,6
162,3.7742,0.2796,0.5630,0.9464,0.6753,0.4598,0.6106,1
163,3.7765,0.3379,0.4858,0.8693,0.6687,0.5369,0.5911,1
164,3.7792,0.4574,0.2974,0.4453,0.3959,0.3119,0.2621,6
165,3.7808,0.7383,0.5522,0.9806,0.8971,0.7653,0.8195,2
166,3.7823,0.4630,0.2360,0.5599,0.4764,0.3446,0.3988,2
167,3.7853,0.4466,0.1633,0.4371,0.2906,0.3130,0.2273,2
168,3.7866,0.6851,0.7555,0.6790,0.6884,0.4742,0.4733,6
169,3.7884,0.7492,0.4659,0.7396,0.5931,0.6156,0.5298,2
