spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.5740,0.5082,0.3485,0.7769,0.6934,0.5616,0.6158,2
1,0.6395,1.2873,1.0039,0.9393,0.8916,1.1537,0.9563,4
2,0.7077,0.6096,0.5955,1.0238,0.9404,0.8086,0.8628,2
3,0.8294,0.6016,0.4419,0.8703,0.7869,0.6550,0.7092,2
4,0.8608,0.5757,0.3209,0.3409,0.2880,0.4422,0.2448,6
5,0.9672,1.1265,0.9679,0.4759,1.0649,0.9810,0.8369,3
6,0.9674,0.7023,0.5426,0.9710,0.8876,0.7557,0.8099,2
7,1.0286,0.5887,0.4290,0.8574,0.7740,0.6421,0.6963,2
8,1.0964,0.6823,0.4554,0.6561,0.6208,0.5369,0.4951,2
9,1.3058,0.7096,0.5499,0.9783,0.8948,0.7630,0.8172,2
10,1.4341,0.6807,0.5210,0.9494,0.8659,0.7341,0.7883,2
11,1.5212,0.5831,0.4234,0.8518,0.7683,0.6365,0.6907,2
12,1.7133,1.4866,1.2033,1.1387,1.0909,1.3530,1.1557,4
13,1.7410,0.8534,0.6264,0.8272,0.7918,0.7079,0.6661,2
14,1.8385,1.1413,0.9144,1.1151,1.0798,0.9959,0.9541,2
15,1.8422,0.8434,0.6164,0.8172,0.7818,0.6979,0.6561,2
16,1.8826,1.4679,1.2409,0.7938,1.4064,1.3225,1.1784,3
17,2.2871,0.6320,0.4723,0.9007,0.8172,0.6854,0.7396,2
18,2.4813,1.0958,1.0253,1.5173,1.0924,1.3066,1.3075,2
19,3.4106,0.3775,0.4765,0.8600,0.5888,0.4309,0.5241,1
20,3.5728,0.3937,0.5314,0.9149,0.6438,0.3817,0.5790,5
21,3.6202,0.5631,0.4034,0.8318,0.7484,0.6165,0.6707,2
22,3.7220,0.6006,0.5865,1.0149,0.9314,0.7996,0.8538,2
23,3.7468,0.5972,0.4376,0.8659,0.7825,0.6507,0.7049,2
24,3.8744,0.3650,0.5027,0.8862,0.6151,0.4047,0.5503,1
25,3.9057,0.2465,0.3369,0.7841,0.3511,0.4574,0.4583,1
26,3.9091,0.3718,0.5096,0.8930,0.6219,0.3978,0.5572,1
27,4.3384,0.9952,0.7791,1.2712,0.8463,1.0604,1.0614,2
