spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0094,1.0226,0.9522,1.4442,1.0193,1.2335,1.2344,2
1,0.0170,0.9773,1.0477,0.5557,0.9806,0.7664,0.7655,3
2,0.0172,1.0365,0.9661,1.4581,1.0332,1.2474,1.2483,2
3,0.0946,0.6505,0.7209,0.8688,0.6538,0.4396,0.5329,5
4,0.3624,0.3008,0.5841,0.9676,0.6964,0.4344,0.6317,1
5,0.3778,0.3303,0.6136,0.9971,0.7260,0.4639,0.6612,1
6,0.6268,0.6591,0.7295,0.6530,0.6624,0.4482,0.4473,6
7,0.7522,0.5854,0.6558,0.8038,0.5887,0.3745,0.4679,5
8,0.7642,0.6745,0.3912,0.7989,0.5137,0.5881,0.5891,2
9,0.7864,0.6032,0.6736,0.3240,0.6065,0.3923,0.3914,3
10,0.9220,0.3909,0.4614,0.8192,0.5481,0.2860,0.4833,5
11,0.9587,0.6159,0.6864,0.3367,0.6192,0.4051,0.4041,3
12,0.9593,1.4486,1.1653,0.7818,1.0529,1.3150,1.1177,3
13,1.0687,0.3552,0.4256,0.7835,0.5123,0.2503,0.4476,5
14,1.1904,0.3458,0.6291,1.0126,0.7414,0.4793,0.6767,1
15,1.2224,0.6493,0.7197,0.8676,0.6526,0.4384,0.5318,5
16,1.2348,0.3219,0.3923,0.7501,0.4790,0.2169,0.4143,5
17,1.2915,0.3902,0.4606,0.6085,0.3935,0.1793,0.2727,5
18,1.3074,0.3608,0.4313,0.7891,0.5180,0.2559,0.4532,5
19,1.3177,0.3557,0.4261,0.7840,0.5128,0.2508,0.4481,5
20,1.3365,0.7725,0.4958,0.1707,0.6612,0.6389,0.4416,3
21,1.4918,0.3261,0.6094,0.9929,0.7218,0.4597,0.6570,1
22,1.5035,0.9567,0.6734,0.4942,0.5610,0.8231,0.6257,3
23,1.5065,0.3497,0.4202,0.7780,0.5069,0.2448,0.4421,5
24,1.5100,0.1237,0.2150,0.6496,0.3274,0.1309,0.2650,1
25,1.5368,0.3876,0.4581,0.6060,0.3910,0.1768,0.2701,5
26,1.5502,0.6073,0.6340,0.2771,0.5669,0.4083,0.3541,3
27,1.5574,0.3671,0.4375,0.7953,0.5242,0.2621,0.4595,5
28,1.5598,0.6384,0.7088,0.4680,0.6417,0.4275,0.4266,6
29,1.5639,0.6204,0.6909,0.8388,0.6238,0.4096,0.5029,5
30,1.5664,0.3658,0.4363,0.5842,0.3691,0.1550,0.2483,5
31,1.5861,0.3445,0.4150,0.5629,0.3478,0.1337,0.2270,5
32,1.6383,0.6648,0.7353,0.6588,0.6682,0.4540,0.4531,6
33,1.6693,0.5598,0.4893,0.9814,0.5564,0.7706,0.7715,2
34,1.6699,0.2717,0.3421,0.7000,0.4288,0.1908,0.3641,5
35,1.7177,0.6516,0.7220,0.4812,0.6549,0.4407,0.4398,6
36,1.7571,1.0947,1.1651,0.6731,1.0980,0.8838,0.8829,3
37,1.7707,0.6332,0.7037,0.5907,0.6366,0.4224,0.4214,6
38,1.7872,0.3890,0.4595,0.8173,0.5462,0.2841,0.4814,5
39,1.8289,0.6285,0.6990,0.8469,0.6318,0.4177,0.5110,5
40,1.8294,0.6245,0.8514,1.2986,0.6860,0.7699,0.9140,1
41,1.8493,0.2892,0.5725,0.9560,0.6849,0.4228,0.6201,1
42,1.8595,0.4147,0.4414,0.5125,0.3743,0.2157,0.1615,6
43,1.8824,0.6483,0.7187,0.8666,0.6516,0.4374,0.5308,5
44,1.9277,0.3627,0.4331,0.7910,0.5198,0.2578,0.4551,5
45,1.9369,0.6155,0.6860,0.8339,0.6189,0.4047,0.4980,5
46,1.9483,0.1606,0.2519,0.6865,0.3643,0.1578,0.3018,5
47,1.9637,0.3053,0.3757,0.7335,0.4624,0.2003,0.3977,5
48,2.0447,0.3786,0.2896,0.3453,0.2673,0.2450,0.0476,6
49,2.0919,0.1337,0.4170,0.8004,0.5293,0.2672,0.4646,1
50,2.4943,0.3378,0.4083,0.7661,0.4950,0.2329,0.4302,5
51,2.5166,0.6273,0.6978,0.8457,0.6306,0.4165,0.5098,5
52,2.5461,0.1804,0.2717,0.7063,0.3841,0.1776,0.3217,5
53,2.6332,0.3174,0.6007,0.9842,0.7131,0.4510,0.6483,1
54,2.6624,0.6209,0.6914,0.6149,0.6243,0.4101,0.4091,6
55,2.8238,0.3446,0.4151,0.7729,0.5018,0.2397,0.4370,5
56,2.8775,0.2682,0.3387,0.6965,0.4254,0.1942,0.3606,5
57,2.8812,0.6324,0.7029,0.8508,0.6357,0.4216,0.5149,5
58,2.9120,0.3030,0.5863,0.9697,0.6986,0.4365,0.6339,1
59,3.1456,0.8111,0.6427,1.1347,0.7098,0.9240,0.9249,2
60,3.1834,0.6034,0.6739,0.8218,0.6067,0.3926,0.4859,5
61,3.2042,0.9550,0.6717,1.0592,0.7681,0.8485,0.8494,2
62,3.2199,0.3583,0.4288,0.7866,0.5155,0.2534,0.4507,5
63,3.2216,0.6284,0.6988,0.8468,0.6317,0.4175,0.5109,5
64,3.2643,0.3304,0.6137,0.9972,0.7261,0.4640,0.6613,1
65,3.3059,0.6844,0.9677,1.3512,1.0800,0.8180,1.0153,1
66,3.3336,0.5697,0.2989,0.4149,0.4644,0.4361,0.2387,6
67,3.3442,0.6389,0.7093,0.6328,0.6422,0.4280,0.4271,6
68,3.4043,0.9416,1.0120,0.5200,0.9449,0.7307,0.7298,3
69,3.4411,0.3335,0.4040,0.7618,0.4907,0.2286,0.4259,5
70,3.6780,1.0973,1.1678,0.6757,1.1006,0.8865,0.8855,3
71,3.6786,0.3873,0.4139,0.4851,0.3468,0.1883,0.1340,6
72,3.7212,0.3819,0.6652,1.0487,0.7776,0.5155,0.7129,1
73,3.7522,0.7831,0.8535,0.3615,0.7864,0.6085,0.5713,3
74,3.7762,0.6593,0.7298,0.8777,0.6626,0.4485,0.5418,5
75,3.8033,0.7199,0.5445,0.7691,0.3242,0.5863,0.4962,4
76,3.8059,0.3491,0.6324,1.0158,0.7447,0.4826,0.6800,1
77,3.8533,0.6788,0.7493,0.6363,0.6821,0.4680,0.4670,6
78,3.8549,0.1978,0.4811,0.8646,0.5934,0.3314,0.5287,1
79,3.8874,0.3711,0.4415,0.7994,0.5282,0.2662,0.4635,5
80,3.8876,1.5193,1.2360,1.1936,1.1237,1.3857,1.1884,4
81,3.9118,0.6709,0.7413,0.6648,0.6742,0.4600,0.4591,6
82,4.0281,0.3448,0.6281,1.0116,0.7405,0.4784,0.6757,1
83,4.0598,1.1398,1.2103,0.7182,1.1432,0.9290,0.9281,3
84,4.0617,0.6282,0.6986,0.8465,0.6315,0.4173,0.5107,5
85,4.0982,0.6477,0.7181,0.8661,0.6510,0.4368,0.5302,5
86,4.1517,1.0999,1.1703,0.6783,1.1032,0.8890,0.8881,3
87,4.1580,0.3584,0.4288,0.5767,0.3617,0.1475,0.2409,5
88,4.1779,0.6249,0.6954,0.6189,0.6282,0.4141,0.4131,6
89,4.4872,0.6439,0.7144,0.8623,0.6473,0.4331,0.5264,5
90,4.5830,0.2282,0.4551,0.9023,0.4235,0.3736,0.5177,1
91,4.6065,0.6241,0.6945,0.8424,0.6274,0.4132,0.5066,5
92,4.6357,0.6552,0.9385,1.3220,1.0509,0.7888,0.9861,1
93,4.6668,0.6529,0.7233,0.8712,0.6562,0.4420,0.5353,5
94,4.6756,0.3487,0.4191,0.7769,0.5058,0.2437,0.4411,5
95,4.6918,0.3618,0.4322,0.7901,0.5189,0.2568,0.4542,5
96,4.7011,0.1288,0.2201,0.6547,0.3325,0.1260,0.2701,5
97,4.7023,0.1614,0.3884,0.8356,0.3567,0.3069,0.4509,1
98,4.7085,0.3190,0.6024,0.9858,0.7147,0.4526,0.6500,1
99,4.7109,0.6516,0.7221,0.6091,0.6550,0.4408,0.4398,6
100,4.7291,0.2498,0.3788,0.8260,0.2134,0.3120,0.4414,4
101,4.7458,0.2600,0.5433,0.9268,0.6556,0.4375,0.5909,1
102,4.7594,0.1626,0.2540,0.6885,0.3663,0.1599,0.3039,5
103,4.7604,0.3987,0.3966,0.8438,0.3954,0.6096,0.6105,4
104,4.7618,0.3919,0.1400,0.4961,0.2050,0.2854,0.2863,2
105,4.7640,0.1888,0.2503,0.6909,0.3627,0.1622,0.3063,5
106,4.7668,0.0861,0.3532,0.7367,0.4656,0.2851,0.4008,1
107,4.7699,0.3568,0.4272,0.7851,0.5139,0.2519,0.4492,5
108,4.7708,0.3362,0.6195,1.0030,0.7319,0.4698,0.6671,1
109,4.7731,0.3296,0.4001,0.5740,0.3330,0.1188,0.2381,5
110,4.7746,0.1158,0.2072,0.6418,0.3195,0.1388,0.2571,1
111,4.7808,0.0855,0.3538,0.7373,0.4662,0.2845,0.4014,1
112,4.7818,0.2793,0.3497,0.7076,0.4364,0.1832,0.3717,5
113,4.7829,0.1626,0.4459,0.8293,0.5582,0.2961,0.4935,1
114,4.7872,0.3170,0.6003,0.9838,0.7127,0.4506,0.6480,1
115,4.7969,0.3244,0.3013,0.4492,0.2629,0.1790,0.1292,6
116,4.7975,0.3950,0.6783,1.0618,0.7907,0.5286,0.7260,1
117,4.8004,0.2326,0.3453,0.7925,0.1799,0.3455,0.4079,4
118,4.8108,0.6302,0.7006,0.8485,0.6335,0.4193,0.5126,5
119,4.8169,0.1119,0.3274,0.7109,0.4427,0.3109,0.3750,1
120,4.8198,0.3187,0.3891,0.7469,0.4758,0.2137,0.4111,5
121,4.8751,0.3818,0.4522,0.6001,0.3851,0.1709,0.2643,5
122,4.8758,0.3315,0.6148,0.9983,0.7272,0.4651,0.6624,1
123,4.8773,0.1224,0.4057,0.7892,0.5181,0.2678,0.4534,1
