spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,3.7048,0.5419,0.6123,0.4245,0.5452,0.3310,0.3301,6
1,3.7224,0.5721,0.6425,0.5578,0.5754,0.3612,0.3603,6
2,3.7280,0.3458,0.5082,0.8917,0.6300,0.4981,0.5558,1
3,3.7281,0.6363,0.6193,0.1910,0.5126,0.5027,0.3520,3
4,3.7596,1.0024,0.7191,1.0158,0.6067,0.8688,0.8060,4
5,3.7622,1.0559,0.9855,1.4775,1.0526,1.2668,1.2677,2
6,3.7759,0.3941,0.6307,1.0142,0.7431,0.4810,0.6783,1
7,3.8037,0.4974,0.4979,0.4133,0.4359,0.3520,0.2157,6
8,4.2892,0.4364,0.6730,1.0565,0.7854,0.5233,0.7206,1
9,4.3019,0.3732,0.6098,0.9933,0.7221,0.4601,0.6574,1
10,4.3146,0.4956,0.4349,0.8632,0.7798,0.6479,0.7022,2
11,4.3159,0.4278,0.4262,0.8097,0.7120,0.5801,0.6343,2
12,4.3764,0.6931,0.7072,0.2789,0.6004,0.4941,0.4399,3
13,4.3987,0.5459,0.5395,0.3517,0.4844,0.4005,0.2572,6
14,4.4020,0.9695,0.6862,0.3027,0.8120,0.8359,0.6386,3
15,4.4534,0.4678,0.5383,0.4536,0.4712,0.3116,0.2560,6
16,4.5620,0.5187,0.4580,0.8863,0.8029,0.6711,0.7253,2
17,4.5883,0.6764,0.4495,0.4097,0.6149,0.5310,0.3869,6
18,5.5640,0.3189,0.5555,0.9390,0.6678,0.4508,0.6031,1
19,5.5888,0.6457,0.7161,0.5283,0.6490,0.4348,0.4339,6
20,5.6969,0.3394,0.5760,0.9595,0.6883,0.4303,0.6236,1
21,5.7482,0.5187,0.5667,0.3790,0.4996,0.3732,0.2845,6
22,5.7920,0.3718,0.4822,0.8657,0.6559,0.5241,0.5783,1
23,5.8011,0.5840,0.5135,1.0056,0.8188,0.7948,0.7957,2
24,6.1370,1.3283,1.0450,0.6615,0.9326,1.1947,0.9974,3
25,6.1664,0.4712,0.3540,0.8461,0.4212,0.6353,0.6363,2
26,6.1733,0.3083,0.3545,0.8017,0.2583,0.4724,0.4734,4
27,6.1871,0.5753,0.6458,0.5611,0.5787,0.3645,0.3635,6
28,6.2223,0.3678,0.4862,0.8696,0.6520,0.5202,0.5744,1
29,6.3216,0.4330,0.4210,0.8044,0.7172,0.5854,0.6396,2
30,7.0447,0.3162,0.5378,0.9213,0.6502,0.4685,0.5854,1
31,7.1961,0.3413,0.5780,0.9614,0.6903,0.4284,0.6256,1
32,7.2776,0.5590,0.6294,0.5448,0.5623,0.3481,0.3472,6
33,7.3122,0.5191,0.5663,0.3785,0.4992,0.3736,0.2841,6
34,7.3328,0.6432,0.6573,0.2289,0.5505,0.4648,0.3900,3
35,7.8881,0.5298,0.6002,0.5155,0.5331,0.3189,0.3180,6
36,7.9272,0.8698,0.7994,1.2914,0.8665,1.0807,1.0816,2
37,7.9421,0.6328,0.5720,1.0004,0.9169,0.7851,0.8393,2
38,7.9598,0.3437,0.5804,0.9638,0.6927,0.4306,0.6280,1
39,8.1351,0.5676,0.4277,0.3430,0.5061,0.4222,0.2781,6
40,8.1513,0.4026,0.6392,1.0227,0.7516,0.4895,0.6868,1
41,8.1526,0.5694,0.4260,0.3413,0.5078,0.4239,0.2799,6
42,8.1740,0.2463,0.4165,0.8636,0.2510,0.4105,0.4790,1
43,8.1820,0.7959,0.5126,0.8093,0.4002,0.6623,0.5995,4
44,8.1839,1.0369,0.8663,0.4380,0.6412,0.9033,0.7059,3
45,8.1892,0.6121,0.3851,0.3453,0.5506,0.4667,0.3226,6
46,8.1922,0.8642,0.5809,0.1974,0.7067,0.7306,0.5333,3
47,8.2155,0.7192,0.5365,0.1081,0.5617,0.5856,0.3883,3
48,8.2304,1.4194,1.1360,0.9014,1.0237,1.2858,1.0884,3
49,8.2466,0.3332,0.5208,0.9043,0.6332,0.4855,0.5684,1
50,8.2476,0.7156,0.7297,0.3013,0.6229,0.5166,0.4624,3
51,8.2511,0.3429,0.5795,0.9630,0.6918,0.4298,0.6271,1
52,8.2661,0.5193,0.5897,0.5051,0.5226,0.3084,0.3075,6
53,8.2846,0.6138,0.6843,0.4965,0.6171,0.4030,0.4020,6
54,8.2882,0.9851,0.8643,0.7915,0.5894,0.8515,0.6542,4
55,8.2953,0.6309,0.7014,0.6167,0.6343,0.4201,0.4192,6
56,8.3424,0.4647,0.4050,0.8863,0.6995,0.6755,0.6765,2
57,8.3565,0.5249,0.4705,0.3858,0.4634,0.3794,0.2354,6
58,8.3605,0.7325,0.7466,0.9985,0.4017,0.5335,0.6139,4
59,8.3784,0.4776,0.7142,1.0977,0.8266,0.5645,0.7619,1
60,8.3799,0.6060,0.6201,0.8720,0.2752,0.4312,0.4874,4
61,8.4322,0.3783,0.4757,0.8592,0.6625,0.5306,0.5848,1
62,8.4607,0.3189,0.5555,0.9390,0.6678,0.4508,0.6031,1
63,8.4719,0.7033,0.4763,0.4365,0.6417,0.5578,0.4138,6
