spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.1041,0.5564,0.4702,0.4274,0.4949,0.4110,0.2669,6
1,0.6453,0.5394,0.6098,0.8563,0.5852,0.3285,0.5205,5
2,0.6673,1.0318,1.1023,0.6102,1.0352,0.8467,0.8201,3
3,0.8459,0.5695,0.4215,0.6680,0.5505,0.4240,0.4728,2
4,1.9669,1.1521,0.9423,0.4780,1.0906,1.0067,0.8626,3
5,2.5477,0.4962,0.5667,0.8132,0.5421,0.2854,0.4774,5
6,2.6025,0.4169,0.3032,0.7952,0.3703,0.5845,0.5854,2
7,2.6033,0.5473,0.4599,0.9519,0.5270,0.7412,0.7421,2
8,2.6417,0.4884,0.2051,0.5602,0.2890,0.3549,0.3504,2
9,2.6899,0.3631,0.1813,0.4915,0.1636,0.2295,0.2251,4
10,2.7268,0.8446,0.5613,0.7746,0.4489,0.7110,0.5648,4
11,2.7362,0.6440,0.3607,0.7158,0.4445,0.5104,0.5060,2
12,2.7519,0.1450,0.2114,0.5949,0.3588,0.2270,0.2812,1
13,2.7527,0.4975,0.4934,0.7400,0.4785,0.3521,0.4041,5
14,2.7614,0.4681,0.4564,0.2719,0.4065,0.3226,0.1786,6
15,2.8116,0.5071,0.2237,0.5788,0.3076,0.3735,0.3690,2
16,2.9175,0.5301,0.6005,0.8470,0.5759,0.3192,0.5112,5
17,3.0872,0.4521,0.4724,0.2879,0.4052,0.3066,0.1901,6
18,3.1756,0.1592,0.3254,0.7089,0.4378,0.1757,0.3730,1
19,3.2099,0.4631,0.4670,0.6354,0.1221,0.3295,0.2508,4
20,3.2684,0.8375,0.8259,0.7683,0.4810,0.7039,0.5586,4
21,3.2698,0.6220,0.3471,0.8391,0.4142,0.6284,0.6293,2
22,3.2708,0.4005,0.4440,0.8275,0.7313,0.5995,0.6537,1
23,3.2753,0.9341,0.7045,0.9156,0.5385,0.8006,0.6970,4
24,3.2758,0.5407,0.6111,0.8577,0.5865,0.3298,0.5218,5
25,3.3089,0.5440,0.6144,0.6121,0.5473,0.3331,0.3322,6
26,3.3143,0.5248,0.5953,0.5526,0.5282,0.3140,0.3130,6
27,3.3361,0.2810,0.5052,0.8887,0.6176,0.4800,0.5528,1
28,3.3472,0.7584,0.5372,0.8475,0.4052,0.6248,0.6203,4
29,3.3654,0.8587,0.5754,0.9305,0.5055,0.7251,0.7207,4
30,3.3727,0.2913,0.3054,0.6156,0.1566,0.1055,0.2310,5
31,3.3736,0.5257,0.5961,0.5939,0.5290,0.3148,0.3139,6
32,3.3894,0.2569,0.4406,0.8878,0.2751,0.3881,0.5031,1
33,3.4669,0.4431,0.4601,0.8573,0.7739,0.6421,0.6963,1
34,3.4865,0.1442,0.3104,0.6939,0.4228,0.1607,0.3580,1
35,3.5136,0.7668,0.4999,0.8577,0.4328,0.6470,0.6479,4
36,3.6879,0.4865,0.4380,0.2534,0.4250,0.3410,0.1970,6
37,3.6948,0.5201,0.5905,0.5478,0.5234,0.3092,0.3083,6
38,3.7019,0.4888,0.5071,0.5048,0.4400,0.3433,0.2249,6
39,3.7086,0.4150,0.1317,0.5156,0.2541,0.3049,0.3058,2
40,3.7164,0.4841,0.5545,0.5522,0.4874,0.2959,0.2723,6
41,3.7277,0.7307,0.4558,0.9478,0.5229,0.7371,0.7380,2
42,3.7305,0.2364,0.4149,0.8621,0.2495,0.4304,0.4774,1
43,3.7352,0.1943,0.3606,0.7440,0.4729,0.2108,0.4082,1
44,3.7387,0.1370,0.2195,0.6030,0.3507,0.2189,0.2731,1
45,3.7393,0.4520,0.5224,0.3379,0.4553,0.2566,0.2402,6
