spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,1.3791,1.9838,1.7005,1.5293,1.5881,1.8502,1.6529,3
1,1.4759,1.1287,0.8454,0.8939,0.7331,0.9951,0.7978,4
2,1.5786,0.4395,0.4145,0.7980,0.6247,0.4929,0.5471,2
3,1.6516,0.5702,0.4105,0.8389,0.7555,0.6236,0.6778,2
4,1.7794,1.0003,0.7733,0.3261,0.9388,0.8548,0.7108,3
5,1.7837,1.6455,1.3622,1.1909,1.2498,1.5119,1.3146,3
6,1.9103,0.4496,0.2227,0.3755,0.3881,0.3042,0.2145,6
7,3.4992,0.3856,0.2341,0.3421,0.3241,0.2401,0.1504,6
8,3.7660,0.4694,0.3846,0.7681,0.6546,0.5228,0.5770,2
9,3.7699,0.5211,0.3614,0.7898,0.7064,0.5745,0.6288,2
10,3.8149,0.4080,0.4460,0.8295,0.5932,0.4614,0.5156,1
11,3.8792,0.3718,0.5095,0.8930,0.6219,0.3979,0.5571,1
12,3.9004,0.4918,0.6296,1.0131,0.7419,0.4798,0.6772,5
13,4.5275,0.4856,0.2587,0.4594,0.4241,0.3402,0.2984,2
14,4.6123,0.4152,0.4388,0.8223,0.6004,0.4686,0.5228,1
15,4.9089,0.3805,0.4735,0.8570,0.5858,0.4339,0.5211,1
16,6.3861,0.3431,0.5700,1.0172,0.4046,0.4885,0.6326,1
17,6.5027,0.3828,0.4506,0.8341,0.7136,0.5818,0.6360,1
18,6.5251,0.5271,0.6648,1.0483,0.7771,0.5151,0.7124,5
19,7.6726,1.2553,1.0283,0.5811,1.1938,1.1098,0.9658,3
20,9.1226,0.4566,0.7400,1.1234,0.8523,0.5902,0.7876,1
21,10.5668,0.9276,0.6443,0.6928,0.5319,0.7940,0.5966,4
