spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0141,0.3722,0.4407,0.8879,0.4150,0.5831,0.5840,1
1,0.0162,0.3999,0.4703,0.8281,0.5570,0.2949,0.4923,5
2,0.0262,0.6844,0.7549,0.5140,0.6877,0.4736,0.4726,6
3,0.0356,0.6092,0.6795,0.4387,0.6124,0.4637,0.3973,6
4,0.0503,0.8394,0.5676,1.0596,0.6347,0.8489,0.8498,2
5,0.0558,0.4085,0.4479,0.3531,0.3808,0.2631,0.1657,6
6,0.0788,0.3105,0.0369,0.4936,0.3080,0.2828,0.2838,2
7,0.0961,0.1204,0.4037,0.7871,0.5160,0.2556,0.4513,1
8,0.1148,0.5893,0.3623,0.4272,0.5277,0.4438,0.2998,6
9,0.1271,0.1953,0.1521,0.5736,0.2004,0.1676,0.1889,2
10,0.1433,0.4088,0.4472,0.4458,0.3800,0.2633,0.1649,6
11,0.1607,0.3957,0.3549,0.5665,0.0561,0.2621,0.1819,4
12,0.1770,0.1512,0.1340,0.5229,0.3841,0.2622,0.3065,2
13,0.1977,0.4831,0.5535,0.5735,0.4864,0.2722,0.2713,6
14,0.2014,0.3701,0.3841,0.5957,0.0853,0.2328,0.2111,4
15,0.2066,0.8452,0.6183,0.6618,0.7837,0.6998,0.5557,6
16,0.2618,0.6705,0.7409,0.5001,0.6738,0.4596,0.4587,6
17,0.3561,0.3822,0.4527,0.6266,0.3856,0.1829,0.2907,5
18,0.3867,0.3120,0.3824,0.7403,0.4691,0.2681,0.4044,5
19,0.3973,0.2272,0.2959,0.4529,0.2288,0.0894,0.1079,5
20,0.3979,0.9675,1.0380,0.5459,0.9708,0.7567,0.7557,3
21,0.4173,0.1660,0.2524,0.6996,0.2296,0.2955,0.3149,1
22,0.4182,0.2200,0.3313,0.7148,0.4436,0.1816,0.3789,5
23,0.4209,1.0851,0.8581,0.4344,1.0236,0.9396,0.7956,3
24,0.4282,1.1374,0.8541,0.8679,0.7418,1.0039,0.8065,4
25,0.4554,0.6778,0.6918,0.2635,0.5863,0.4788,0.4245,3
26,0.4637,0.7040,0.7745,0.4248,0.7074,0.4932,0.4923,3
27,0.4694,0.7026,0.5276,0.0590,0.6411,0.5572,0.4131,3
28,0.4709,1.4473,1.1640,0.7805,1.1980,1.3137,1.1163,3
29,0.4735,1.1427,0.9047,0.5779,0.7470,1.0091,0.8118,3
30,0.4748,0.9635,1.0340,0.5419,0.9669,0.7527,0.7517,3
31,0.4840,0.6538,0.7243,0.3746,0.6571,0.4430,0.4420,3
32,0.4844,0.6957,0.7662,0.6897,0.6991,0.4849,0.4840,6
33,0.4863,0.6681,0.7385,0.4116,0.6714,0.4572,0.4563,3
34,0.4877,0.6236,0.6940,0.2254,0.6269,0.4127,0.4118,3
35,0.4914,0.6243,0.6948,0.4540,0.6277,0.4485,0.4126,6
36,0.4948,0.4011,0.4716,0.8294,0.5583,0.2962,0.4935,5
37,0.4961,0.3251,0.6084,0.9919,0.7208,0.4587,0.6561,1
38,0.5018,0.3970,0.4674,0.8253,0.5541,0.2921,0.4894,5
39,0.5056,0.6007,0.6148,0.3782,0.4125,0.4017,0.3475,6
40,0.5123,0.6690,0.6831,0.3971,0.3843,0.4700,0.4158,4
41,0.5142,0.6747,0.7451,0.5043,0.6780,0.4638,0.4629,6
42,0.5151,0.3795,0.4500,0.8078,0.5367,0.2746,0.4719,5
43,0.5164,0.3693,0.6526,1.0361,0.7649,0.5029,0.7002,1
44,0.5234,0.6613,0.7318,0.6553,0.6647,0.4505,0.4495,6
45,0.5284,0.0761,0.2615,0.6504,0.3738,0.1347,0.3091,1
46,0.5304,0.6359,0.6528,0.4120,0.5857,0.4904,0.3706,6
47,0.5473,0.6412,0.9245,1.3080,1.0369,0.7748,0.9721,1
48,0.5571,0.4201,0.4905,0.6384,0.4234,0.2092,0.3026,5
49,0.5576,0.6910,0.7615,0.5206,0.6944,0.4802,0.4792,6
50,0.5694,0.6728,0.7432,0.6303,0.6761,0.4619,0.4610,6
51,0.5721,0.2228,0.5062,0.8896,0.6185,0.3564,0.5538,1
52,0.5762,0.4493,0.5197,0.5398,0.4526,0.2384,0.2375,6
53,0.5777,0.4136,0.4277,0.6393,0.1288,0.2146,0.2546,4
54,0.5863,0.2314,0.5147,0.8982,0.6271,0.3650,0.5623,1
55,0.5879,0.0503,0.2349,0.6239,0.3473,0.1613,0.2825,1
56,0.5883,0.7033,0.6373,0.7348,0.3076,0.5697,0.3723,4
57,0.5916,0.6377,0.7082,0.3001,0.6410,0.4269,0.4259,3
58,0.6006,0.4162,0.4302,0.6548,0.1351,0.2172,0.2702,4
59,0.6015,0.5904,0.6045,0.3679,0.4023,0.3914,0.3372,6
60,0.6044,0.1999,0.4833,0.8667,0.5956,0.3335,0.5309,1
61,0.6089,0.2262,0.5095,0.8930,0.6219,0.3598,0.5571,1
62,0.6162,0.6915,0.7619,0.6490,0.6948,0.4806,0.4797,6
63,0.6193,0.9622,0.7807,1.0446,0.5665,0.8286,0.7779,4
64,0.6253,0.3903,0.4608,0.8186,0.5475,0.2854,0.4827,5
65,0.6354,0.9578,1.0282,0.5362,0.9611,0.7469,0.7460,3
66,0.6362,0.6564,0.6704,0.2421,0.5649,0.4574,0.4031,3
67,0.6384,0.6612,0.7316,0.6551,0.6645,0.4503,0.4494,6
68,0.6398,0.4370,0.5056,0.3310,0.4385,0.2380,0.2234,6
69,0.6405,0.4066,0.4770,0.8349,0.5637,0.3017,0.4990,5
70,0.6599,0.2955,0.3125,0.7597,0.2352,0.4494,0.4503,4
71,0.9277,0.4127,0.4437,0.3489,0.3766,0.2673,0.1615,6
72,0.9345,0.6381,0.7085,0.6320,0.6414,0.4272,0.4263,6
73,0.9474,0.3708,0.4412,0.6151,0.3741,0.1943,0.2793,5
74,0.9929,1.3952,1.1119,1.0695,0.9996,1.2616,1.0643,4
75,1.0490,0.4399,0.2068,0.3290,0.2836,0.3063,0.1139,6
76,1.0884,0.5338,0.3974,0.8894,0.6109,0.6787,0.6796,2
77,1.0901,0.3431,0.1396,0.4400,0.3566,0.2247,0.2789,2
78,1.1321,1.2431,0.9597,0.6872,0.8474,1.1095,0.9121,3
79,1.1919,0.6423,0.7128,0.8607,0.6457,0.4315,0.5248,5
80,2.2016,0.2253,0.3834,0.8306,0.3647,0.4362,0.4459,1
81,2.2352,0.4963,0.3269,0.7484,0.2545,0.4687,0.4696,4
82,2.2365,0.3292,0.6125,0.9960,0.7248,0.4627,0.6601,1
83,2.2367,0.6241,0.6946,0.2865,0.6274,0.4263,0.4123,3
84,2.2728,0.3736,0.4297,0.5776,0.3626,0.2282,0.2417,5
85,2.2734,0.3959,0.4663,0.3038,0.3992,0.2348,0.1841,6
86,2.2803,1.3319,1.0486,0.9163,0.9362,1.1983,1.0010,3
87,2.3269,0.4037,0.4741,0.4727,0.4070,0.2364,0.1919,6
88,2.3659,0.6330,0.7034,0.6269,0.6363,0.4221,0.4212,6
89,2.4019,0.2315,0.3765,0.8236,0.2110,0.3854,0.4390,4
90,2.4343,0.3593,0.4297,0.7876,0.5164,0.2544,0.4517,5
91,2.4399,0.5727,0.3439,0.2141,0.5093,0.4391,0.2814,3
92,2.4716,0.1491,0.2334,0.6806,0.3852,0.3599,0.3609,1
