spindle_no,time,1.0_dist,2.0_dist,3.0_dist,4.0_dist,5.0_dist,6.0_dist,membership
0,0.0401,1.0257,1.0962,0.6041,1.0290,0.8149,0.8139,3
1,0.0420,0.6907,0.6804,0.5033,0.3355,0.5571,0.4131,4
2,0.0439,0.5917,0.6334,0.5569,0.5663,0.4463,0.3512,6
3,0.1891,1.1168,1.1872,0.6952,1.1201,0.9059,0.9050,3
4,0.2434,0.9236,0.6403,1.0155,0.5906,0.8048,0.8057,4
5,0.3373,0.3270,0.3974,0.7552,0.4841,0.2615,0.4194,5
6,0.3728,0.2549,0.5382,0.9217,0.6505,0.3885,0.5858,1
7,0.4699,0.2482,0.5315,0.9150,0.6438,0.3818,0.5791,1
8,0.5057,0.6348,0.6639,0.2368,0.5968,0.4893,0.3816,3
9,0.5133,0.3497,0.4201,0.7780,0.5068,0.2448,0.4421,5
10,0.5441,0.9678,1.0382,0.5462,0.9711,0.7569,0.7560,3
11,0.5882,0.6555,0.7259,0.4851,0.6588,0.4446,0.4437,6
12,0.6261,0.7594,0.5377,0.3365,0.6979,0.6140,0.4699,3
13,0.6513,0.4385,0.7219,1.1053,0.8342,0.5721,0.7695,1
14,0.6561,0.4087,0.3708,0.4195,0.2060,0.2751,0.1035,6
15,0.6598,0.6162,0.5995,0.1712,0.5236,0.4827,0.3322,3
16,0.6749,0.3685,0.4389,0.7967,0.5256,0.2635,0.4609,5
17,0.6787,0.6188,0.6892,0.5762,0.6221,0.4234,0.4070,6
18,0.6799,0.7376,0.7516,0.3233,0.4945,0.5595,0.4843,3
19,0.6806,1.0195,1.0900,0.5979,1.0229,0.8087,0.8077,3
20,0.6833,0.6697,0.7401,0.4993,0.6730,0.4588,0.4579,6
21,0.7656,0.4458,0.5163,0.6642,0.4492,0.2350,0.3283,5
22,0.8032,0.6107,0.6811,0.6047,0.6140,0.3999,0.3989,6
23,0.8296,0.1201,0.2328,0.6800,0.3857,0.3310,0.3319,1
24,0.8353,0.4697,0.4468,0.2697,0.3708,0.3361,0.1795,6
